date,sleep_duration_hours,sleep_quality,study_hours,deep_focus_hours,phone_entertainment_hours,exercise_hours,class_load,focus_score,notes
2026-08-01,7.5,4,4.0,2.5,1.6,0.5,中,4,正常学习日
2026-08-02,6.2,2,3.0,1.2,3.5,0.0,高,2,睡眠不足且任务较多
2026-08-03,8.0,5,5.0,3.5,1.0,0.7,低,5,状态很好
2026-08-04,7.1,3,3.7,2.0,2.3,0.3,中,3,下午有些疲惫
2026-08-05,6.8,3,4.3,2.2,3.0,0.0,高,3,作业较多
2026-08-06,7.8,4,4.7,3.0,1.3,0.6,中,4,专注完成作业
2026-08-07,8.2,5,5.3,3.8,0.9,0.8,低,5,周末高效学习
2026-08-08,6.0,2,2.5,1.0,4.0,0.0,中,2,刷手机时间较多
2026-08-09,7.4,4,4.2,2.7,1.7,0.5,低,4,复习课程内容
2026-08-10,7.0,3,3.5,1.8,2.6,0.3,高,3,课程任务集中
2026-08-11,7.9,4,4.8,3.2,1.3,0.7,中,4,运动后学习状态不错
2026-08-12,6.5,2,2.8,1.3,3.4,0.0,高,2,睡眠质量不佳
